"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a specific milestone can be retrieved by its ID","684","checkGetSpecificMilestone","API Suite","Wed Jul 23 19:25:24 GMT 2025","passed","Wed Jul 23 19:25:25 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"","1","initPages","UI Suite","Wed Jul 23 19:23:58 GMT 2025","failed","Wed Jul 23 19:23:58 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","initPages"
"","1","initPages","UI Suite","Wed Jul 23 19:25:12 GMT 2025","failed","Wed Jul 23 19:25:12 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","initPages"
"Creates a suite named 'Smoke' and verifies it is created","4018","Create a test suite","UI Suite","Wed Jul 23 19:22:17 GMT 2025","passed","Wed Jul 23 19:22:21 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a milestone can be created and has a valid ID","545","checkCreateMilestone","API Suite","Wed Jul 23 19:25:21 GMT 2025","passed","Wed Jul 23 19:25:21 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that all defects for the project are returned correctly","1453","checkGetAllDefects","API Suite","Wed Jul 23 19:25:17 GMT 2025","passed","Wed Jul 23 19:25:18 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Verify that all milestones for the project are returned correctly","1051","checkGetAllMilestones","API Suite","Wed Jul 23 19:25:23 GMT 2025","passed","Wed Jul 23 19:25:24 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Verify that a defect is deleted successfully and returns 404 when accessed","1510","checkDeleteDefect","API Suite","Wed Jul 23 19:25:15 GMT 2025","passed","Wed Jul 23 19:25:16 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Creates a test case and verifies it exists on the project page","5282","Create test case","UI Suite","Wed Jul 23 19:22:28 GMT 2025","passed","Wed Jul 23 19:22:33 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","11710","Create a test suite","UI Suite","Wed Jul 23 19:23:17 GMT 2025","passed","Wed Jul 23 19:23:29 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
