"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a test case and verifies it exists on the project page","5474","Create test case","UI Suite","Fri Jul 18 23:01:23 GMT 2025","passed","Fri Jul 18 23:01:28 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"","632","checkCreateDefect","UI Suite","Fri Jul 18 23:02:42 GMT 2025","passed","Fri Jul 18 23:02:43 GMT 2025","tests.api.DefectAPITest","UI Edge Test","tests.api.DefectAPITest","checkCreateDefect"
"","0","initPages","UI Suite","Fri Jul 18 23:02:42 GMT 2025","failed","Fri Jul 18 23:02:42 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","initPages"
"Creates a test case and verifies it exists on the project page","4161","Create test case","UI Suite","Fri Jul 18 23:00:35 GMT 2025","passed","Fri Jul 18 23:00:39 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","3371","Create a test suite","UI Suite","Fri Jul 18 23:00:27 GMT 2025","passed","Fri Jul 18 23:00:31 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a suite named 'Smoke' and verifies it is created","4201","Create a test suite","UI Suite","Fri Jul 18 23:01:11 GMT 2025","passed","Fri Jul 18 23:01:15 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"","705","checkCreateDefect","UI Suite","Fri Jul 18 23:00:52 GMT 2025","passed","Fri Jul 18 23:00:52 GMT 2025","tests.api.DefectAPITest","UI Chrome Test","tests.api.DefectAPITest","checkCreateDefect"
"Creates and edits a suite, then verifies the updated suite appears","0","Edit a test suite","UI Suite","Fri Jul 18 23:02:42 GMT 2025","skipped","Fri Jul 18 23:02:42 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Creates and edits a suite, then verifies the updated suite appears","0","Edit a test suite","UI Suite","Fri Jul 18 23:01:43 GMT 2025","skipped","Fri Jul 18 23:01:43 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"","1","initPages","UI Suite","Fri Jul 18 23:01:43 GMT 2025","failed","Fri Jul 18 23:01:43 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","initPages"
"Creates a suite named 'Smoke' and verifies it is created","0","Create a test suite","UI Suite","Fri Jul 18 23:02:18 GMT 2025","skipped","Fri Jul 18 23:02:18 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates and edits a suite, then verifies the updated suite appears","7944","Edit a test suite","UI Suite","Fri Jul 18 23:00:43 GMT 2025","passed","Fri Jul 18 23:00:51 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"","595","checkCreateDefect","API Suite","Fri Jul 18 23:02:43 GMT 2025","passed","Fri Jul 18 23:02:43 GMT 2025","tests.api.DefectAPITest","API Tests","tests.api.DefectAPITest","checkCreateDefect"
"","715","checkCreateDefect","UI Suite","Fri Jul 18 23:01:43 GMT 2025","passed","Fri Jul 18 23:01:44 GMT 2025","tests.api.DefectAPITest","UI Firefox Test","tests.api.DefectAPITest","checkCreateDefect"
"Creates a test case and verifies it exists on the project page","0","Create test case","UI Suite","Fri Jul 18 23:02:30 GMT 2025","skipped","Fri Jul 18 23:02:30 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"","467","checkCreateProject","API Suite","Fri Jul 18 23:02:43 GMT 2025","passed","Fri Jul 18 23:02:44 GMT 2025","tests.api.ProjectAPITest","API Tests","tests.api.ProjectAPITest","checkCreateProject"
