"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a test case and verifies it exists on the project page","4951","Create test case","UI Suite","Sun Jul 20 14:48:10 GMT 2025","passed","Sun Jul 20 14:48:15 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates and edits a suite, then verifies the updated suite appears","8599","Edit a test suite","UI Suite","Sun Jul 20 14:48:20 GMT 2025","passed","Sun Jul 20 14:48:29 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a suite named 'Smoke' and verifies it is created","4052","Create a test suite","UI Suite","Sun Jul 20 14:48:02 GMT 2025","passed","Sun Jul 20 14:48:06 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a new project can be created","497","checkCreateProject","API Suite","Sun Jul 20 14:50:11 GMT 2025","passed","Sun Jul 20 14:50:11 GMT 2025","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"","434","checkCreateMilestone","API Suite","Sun Jul 20 14:50:17 GMT 2025","passed","Sun Jul 20 14:50:18 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that all existing projects are returned","416","checkGetAllProjects","API Suite","Sun Jul 20 14:50:11 GMT 2025","passed","Sun Jul 20 14:50:12 GMT 2025","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a defect can be successfully updated","1016","checkUpdateDefect","API Suite","Sun Jul 20 14:50:16 GMT 2025","passed","Sun Jul 20 14:50:17 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Creates a suite named 'Smoke' and verifies it is created","3398","Create a test suite","UI Suite","Sun Jul 20 14:49:42 GMT 2025","passed","Sun Jul 20 14:49:46 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a suite named 'Smoke' and verifies it is created","4450","Create a test suite","UI Suite","Sun Jul 20 14:48:47 GMT 2025","passed","Sun Jul 20 14:48:51 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a defect can be created and has a valid ID","520","checkCreateDefect","API Suite","Sun Jul 20 14:50:12 GMT 2025","passed","Sun Jul 20 14:50:12 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Verify that all defects for the project are returned correctly","1151","checkGetAllDefects","API Suite","Sun Jul 20 14:50:14 GMT 2025","passed","Sun Jul 20 14:50:15 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Creates and edits a suite, then verifies the updated suite appears","10016","Edit a test suite","UI Suite","Sun Jul 20 14:50:00 GMT 2025","passed","Sun Jul 20 14:50:10 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a test case and verifies it exists on the project page","4929","Create test case","UI Suite","Sun Jul 20 14:49:50 GMT 2025","passed","Sun Jul 20 14:49:55 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a defect is deleted successfully and returns 404 when accessed","1386","checkDeleteDefect","API Suite","Sun Jul 20 14:50:12 GMT 2025","passed","Sun Jul 20 14:50:14 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"","698","checkGetSpecificMilestone","API Suite","Sun Jul 20 14:50:18 GMT 2025","passed","Sun Jul 20 14:50:19 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Creates and edits a suite, then verifies the updated suite appears","9428","Edit a test suite","UI Suite","Sun Jul 20 14:49:11 GMT 2025","passed","Sun Jul 20 14:49:20 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a test case and verifies it exists on the project page","5355","Create test case","UI Suite","Sun Jul 20 14:48:59 GMT 2025","passed","Sun Jul 20 14:49:04 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a specific defect can be retrieved by its ID","863","checkGetDefect","API Suite","Sun Jul 20 14:50:15 GMT 2025","passed","Sun Jul 20 14:50:16 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
