"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a milestone is deleted successfully and returns 404 when accessed","823","checkDeleteMilestone","API Suite","Thu Mar 12 21:31:16 UTC 2026","passed","Thu Mar 12 21:31:17 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Creates a suite named 'Smoke' and verifies it is created","12167","Create a test suite","UI Suite","Thu Mar 12 21:28:28 UTC 2026","passed","Thu Mar 12 21:28:40 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a specific milestone can be retrieved by its ID","697","checkGetSpecificMilestone","API Suite","Thu Mar 12 21:31:18 UTC 2026","passed","Thu Mar 12 21:31:19 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Verify that a defect can be created and has a valid ID","628","checkCreateDefect","API Suite","Thu Mar 12 21:31:08 UTC 2026","passed","Thu Mar 12 21:31:09 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Verify that a new project can be created","537","checkCreateProject","API Suite","Thu Mar 12 21:31:07 UTC 2026","passed","Thu Mar 12 21:31:07 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Creates a test case and verifies it exists on the project page","11753","Create test case","UI Suite","Thu Mar 12 21:30:24 UTC 2026","passed","Thu Mar 12 21:30:36 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a milestone can be successfully updated","871","checkUpdateMilestone","API Suite","Thu Mar 12 21:31:19 UTC 2026","passed","Thu Mar 12 21:31:20 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Verify that a defect can be successfully updated","1092","checkUpdateDefect","API Suite","Thu Mar 12 21:31:13 UTC 2026","passed","Thu Mar 12 21:31:14 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Verify that a milestone can be created and has a valid ID","1319","checkCreateMilestone","API Suite","Thu Mar 12 21:31:14 UTC 2026","passed","Thu Mar 12 21:31:16 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Creates a test case and verifies it exists on the project page","13043","Create test case","UI Suite","Thu Mar 12 21:28:41 UTC 2026","passed","Thu Mar 12 21:28:54 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a test case and verifies it exists on the project page","12372","Create test case","UI Suite","Thu Mar 12 21:28:43 UTC 2026","passed","Thu Mar 12 21:28:56 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","15810","Create a test suite","UI Suite","Thu Mar 12 21:30:06 UTC 2026","passed","Thu Mar 12 21:30:22 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates and edits a suite, then verifies the updated suite appears","28612","Edit a test suite","UI Suite","Thu Mar 12 21:30:38 UTC 2026","passed","Thu Mar 12 21:31:06 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Creates and edits a suite, then verifies the updated suite appears","25289","Edit a test suite","UI Suite","Thu Mar 12 21:28:56 UTC 2026","passed","Thu Mar 12 21:29:22 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a suite named 'Smoke' and verifies it is created","15192","Create a test suite","UI Suite","Thu Mar 12 21:28:28 UTC 2026","passed","Thu Mar 12 21:28:43 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that all existing projects are returned","633","checkGetAllProjects","API Suite","Thu Mar 12 21:31:07 UTC 2026","passed","Thu Mar 12 21:31:08 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a defect is deleted successfully and returns 404 when accessed","1429","checkDeleteDefect","API Suite","Thu Mar 12 21:31:09 UTC 2026","passed","Thu Mar 12 21:31:11 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Verify that all defects for the project are returned correctly","1170","checkGetAllDefects","API Suite","Thu Mar 12 21:31:11 UTC 2026","passed","Thu Mar 12 21:31:12 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Verify that all milestones for the project are returned correctly","1007","checkGetAllMilestones","API Suite","Thu Mar 12 21:31:17 UTC 2026","passed","Thu Mar 12 21:31:18 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Verify that a specific defect can be retrieved by its ID","847","checkGetDefect","API Suite","Thu Mar 12 21:31:12 UTC 2026","passed","Thu Mar 12 21:31:13 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Creates and edits a suite, then verifies the updated suite appears","24632","Edit a test suite","UI Suite","Thu Mar 12 21:28:54 UTC 2026","passed","Thu Mar 12 21:29:19 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
