"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a milestone is deleted successfully and returns 404 when accessed","1159","checkDeleteMilestone","API Suite","Wed Mar 11 17:08:03 UTC 2026","passed","Wed Mar 11 17:08:04 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Creates and edits a suite, then verifies the updated suite appears","26660","Edit a test suite","UI Suite","Wed Mar 11 17:05:04 UTC 2026","passed","Wed Mar 11 17:05:31 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a test case and verifies it exists on the project page","12662","Create test case","UI Suite","Wed Mar 11 17:04:51 UTC 2026","failed","Wed Mar 11 17:05:04 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a test case and verifies it exists on the project page","43844","Create test case","UI Suite","Wed Mar 11 17:04:51 UTC 2026","failed","Wed Mar 11 17:05:35 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a specific defect can be retrieved by its ID","1205","checkGetDefect","API Suite","Wed Mar 11 17:07:59 UTC 2026","passed","Wed Mar 11 17:08:00 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Verify that a milestone can be created and has a valid ID","694","checkCreateMilestone","API Suite","Wed Mar 11 17:08:02 UTC 2026","passed","Wed Mar 11 17:08:03 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that a milestone can be successfully updated","1129","checkUpdateMilestone","API Suite","Wed Mar 11 17:08:07 UTC 2026","passed","Wed Mar 11 17:08:09 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Verify that a defect can be created and has a valid ID","799","checkCreateDefect","API Suite","Wed Mar 11 17:07:54 UTC 2026","passed","Wed Mar 11 17:07:55 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Verify that a defect can be successfully updated","1388","checkUpdateDefect","API Suite","Wed Mar 11 17:08:00 UTC 2026","passed","Wed Mar 11 17:08:02 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Creates a suite named 'Smoke' and verifies it is created","13026","Create a test suite","UI Suite","Wed Mar 11 17:07:00 UTC 2026","passed","Wed Mar 11 17:07:13 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a new project can be created","722","checkCreateProject","API Suite","Wed Mar 11 17:07:52 UTC 2026","passed","Wed Mar 11 17:07:53 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Creates and edits a suite, then verifies the updated suite appears","24392","Edit a test suite","UI Suite","Wed Mar 11 17:07:27 UTC 2026","passed","Wed Mar 11 17:07:51 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a defect is deleted successfully and returns 404 when accessed","1826","checkDeleteDefect","API Suite","Wed Mar 11 17:07:55 UTC 2026","passed","Wed Mar 11 17:07:57 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Creates a suite named 'Smoke' and verifies it is created","12610","Create a test suite","UI Suite","Wed Mar 11 17:04:37 UTC 2026","passed","Wed Mar 11 17:04:50 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that all milestones for the project are returned correctly","1418","checkGetAllMilestones","API Suite","Wed Mar 11 17:08:05 UTC 2026","passed","Wed Mar 11 17:08:06 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
