"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Test Case & Suite Management","0","Test Case","1","1","User create a test case","0"
"0","Test Case & Suite Management","2","","0","0","","0"
"0","Test Case & Suite Management","0","Test Suite","0","2","User edit an existing suite","0"
"0","Test Case & Suite Management","0","Test Suite","1","1","User create a suite","0"
