"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a milestone is deleted successfully and returns 404 when accessed","1164","checkDeleteMilestone","API Suite","Fri Feb 27 17:25:47 UTC 2026","passed","Fri Feb 27 17:25:48 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Creates a suite named 'Smoke' and verifies it is created","6964","Create a test suite","UI Suite","Fri Feb 27 17:24:52 UTC 2026","passed","Fri Feb 27 17:24:59 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates and edits a suite, then verifies the updated suite appears","11269","Edit a test suite","UI Suite","Fri Feb 27 17:22:56 UTC 2026","passed","Fri Feb 27 17:23:08 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Creates and edits a suite, then verifies the updated suite appears","13183","Edit a test suite","UI Suite","Fri Feb 27 17:25:22 UTC 2026","passed","Fri Feb 27 17:25:35 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a milestone can be created and has a valid ID","748","checkCreateMilestone","API Suite","Fri Feb 27 17:25:46 UTC 2026","passed","Fri Feb 27 17:25:47 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that a specific milestone can be retrieved by its ID","965","checkGetSpecificMilestone","API Suite","Fri Feb 27 17:25:50 UTC 2026","passed","Fri Feb 27 17:25:51 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Verify that all existing projects are returned","1051","checkGetAllProjects","API Suite","Fri Feb 27 17:25:37 UTC 2026","passed","Fri Feb 27 17:25:38 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a specific defect can be retrieved by its ID","1108","checkGetDefect","API Suite","Fri Feb 27 17:25:43 UTC 2026","passed","Fri Feb 27 17:25:44 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Creates a test case and verifies it exists on the project page","7093","Create test case","UI Suite","Fri Feb 27 17:22:43 UTC 2026","passed","Fri Feb 27 17:22:50 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","4765","Create a test suite","UI Suite","Fri Feb 27 17:23:30 UTC 2026","passed","Fri Feb 27 17:23:34 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a defect can be created and has a valid ID","797","checkCreateDefect","API Suite","Fri Feb 27 17:25:38 UTC 2026","passed","Fri Feb 27 17:25:39 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Creates a test case and verifies it exists on the project page","7602","Create test case","UI Suite","Fri Feb 27 17:25:07 UTC 2026","failed","Fri Feb 27 17:25:15 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","5620","Create a test suite","UI Suite","Fri Feb 27 17:22:32 UTC 2026","passed","Fri Feb 27 17:22:37 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that all milestones for the project are returned correctly","1423","checkGetAllMilestones","API Suite","Fri Feb 27 17:25:49 UTC 2026","passed","Fri Feb 27 17:25:50 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Creates a test case and verifies it exists on the project page","6792","Create test case","UI Suite","Fri Feb 27 17:23:43 UTC 2026","passed","Fri Feb 27 17:23:50 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a new project can be created","884","checkCreateProject","API Suite","Fri Feb 27 17:25:35 UTC 2026","passed","Fri Feb 27 17:25:36 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Verify that a milestone can be successfully updated","1175","checkUpdateMilestone","API Suite","Fri Feb 27 17:25:51 UTC 2026","passed","Fri Feb 27 17:25:53 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
