"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a suite named 'Smoke' and verifies it is created","13024","Create a test suite","UI Suite","Wed Mar 11 18:59:36 UTC 2026","passed","Wed Mar 11 18:59:49 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a suite named 'Smoke' and verifies it is created","15016","Create a test suite","UI Suite","Wed Mar 11 18:59:36 UTC 2026","passed","Wed Mar 11 18:59:51 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a milestone can be created and has a valid ID","829","checkCreateMilestone","API Suite","Wed Mar 11 19:03:44 UTC 2026","passed","Wed Mar 11 19:03:45 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that a new project can be created","803","checkCreateProject","API Suite","Wed Mar 11 19:03:32 UTC 2026","passed","Wed Mar 11 19:03:33 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Verify that a specific defect can be retrieved by its ID","1305","checkGetDefect","API Suite","Wed Mar 11 19:03:40 UTC 2026","passed","Wed Mar 11 19:03:42 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Creates a test case and verifies it exists on the project page","0","Create test case","UI Suite","Wed Mar 11 19:03:32 UTC 2026","skipped","Wed Mar 11 19:03:32 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates and edits a suite, then verifies the updated suite appears","66697","Edit a test suite","UI Suite","Wed Mar 11 19:00:10 UTC 2026","failed","Wed Mar 11 19:01:16 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Creates and edits a suite, then verifies the updated suite appears","30096","Edit a test suite","UI Suite","Wed Mar 11 19:01:10 UTC 2026","broken","Wed Mar 11 19:01:40 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a defect can be created and has a valid ID","934","checkCreateDefect","API Suite","Wed Mar 11 19:03:35 UTC 2026","passed","Wed Mar 11 19:03:36 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Verify that a defect is deleted successfully and returns 404 when accessed","1952","checkDeleteDefect","API Suite","Wed Mar 11 19:03:36 UTC 2026","passed","Wed Mar 11 19:03:38 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"","0","initPages","UI Suite","Wed Mar 11 19:03:32 UTC 2026","broken","Wed Mar 11 19:03:32 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","initPages"
"Creates and edits a suite, then verifies the updated suite appears","0","Edit a test suite","UI Suite","Wed Mar 11 19:03:32 UTC 2026","skipped","Wed Mar 11 19:03:32 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a suite named 'Smoke' and verifies it is created","0","Create a test suite","UI Suite","Wed Mar 11 19:03:32 UTC 2026","skipped","Wed Mar 11 19:03:32 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a defect can be successfully updated","1556","checkUpdateDefect","API Suite","Wed Mar 11 19:03:42 UTC 2026","passed","Wed Mar 11 19:03:43 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Verify that a specific milestone can be retrieved by its ID","1101","checkGetSpecificMilestone","API Suite","Wed Mar 11 19:03:49 UTC 2026","passed","Wed Mar 11 19:03:50 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Verify that all defects for the project are returned correctly","1824","checkGetAllDefects","API Suite","Wed Mar 11 19:03:38 UTC 2026","passed","Wed Mar 11 19:03:40 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Verify that all milestones for the project are returned correctly","1655","checkGetAllMilestones","API Suite","Wed Mar 11 19:03:47 UTC 2026","passed","Wed Mar 11 19:03:48 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Creates a test case and verifies it exists on the project page","65638","Create test case","UI Suite","Wed Mar 11 18:59:56 UTC 2026","failed","Wed Mar 11 19:01:01 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a milestone can be successfully updated","1383","checkUpdateMilestone","API Suite","Wed Mar 11 19:03:50 UTC 2026","passed","Wed Mar 11 19:03:51 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Verify that all existing projects are returned","779","checkGetAllProjects","API Suite","Wed Mar 11 19:03:34 UTC 2026","passed","Wed Mar 11 19:03:34 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a milestone is deleted successfully and returns 404 when accessed","1406","checkDeleteMilestone","API Suite","Wed Mar 11 19:03:45 UTC 2026","passed","Wed Mar 11 19:03:46 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Creates a test case and verifies it exists on the project page","15697","Create test case","UI Suite","Wed Mar 11 18:59:53 UTC 2026","passed","Wed Mar 11 19:00:09 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
