"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a suite named 'Smoke' and verifies it is created","5441","Create a test suite","UI Suite","Wed Feb 25 20:37:19 UTC 2026","passed","Wed Feb 25 20:37:25 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a milestone is deleted successfully and returns 404 when accessed","1295","checkDeleteMilestone","API Suite","Wed Feb 25 20:38:08 UTC 2026","passed","Wed Feb 25 20:38:09 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Creates a test case and verifies it exists on the project page","6593","Create test case","UI Suite","Wed Feb 25 20:37:31 UTC 2026","passed","Wed Feb 25 20:37:38 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a test case and verifies it exists on the project page","5852","Create test case","UI Suite","Wed Feb 25 20:34:22 UTC 2026","passed","Wed Feb 25 20:34:28 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a milestone can be successfully updated","1373","checkUpdateMilestone","API Suite","Wed Feb 25 20:38:13 UTC 2026","passed","Wed Feb 25 20:38:15 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Verify that a new project can be created","783","checkCreateProject","API Suite","Wed Feb 25 20:37:56 UTC 2026","passed","Wed Feb 25 20:37:57 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Verify that a milestone can be created and has a valid ID","804","checkCreateMilestone","API Suite","Wed Feb 25 20:38:07 UTC 2026","passed","Wed Feb 25 20:38:08 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that a defect is deleted successfully and returns 404 when accessed","2009","checkDeleteDefect","API Suite","Wed Feb 25 20:37:59 UTC 2026","passed","Wed Feb 25 20:38:01 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Creates a test case and verifies it exists on the project page","6910","Create test case","UI Suite","Wed Feb 25 20:35:19 UTC 2026","passed","Wed Feb 25 20:35:26 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates and edits a suite, then verifies the updated suite appears","11001","Edit a test suite","UI Suite","Wed Feb 25 20:34:34 UTC 2026","passed","Wed Feb 25 20:34:45 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that all defects for the project are returned correctly","1697","checkGetAllDefects","API Suite","Wed Feb 25 20:38:01 UTC 2026","passed","Wed Feb 25 20:38:03 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Verify that a specific defect can be retrieved by its ID","1183","checkGetDefect","API Suite","Wed Feb 25 20:38:03 UTC 2026","passed","Wed Feb 25 20:38:05 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Creates and edits a suite, then verifies the updated suite appears","11337","Edit a test suite","UI Suite","Wed Feb 25 20:37:44 UTC 2026","passed","Wed Feb 25 20:37:55 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a suite named 'Smoke' and verifies it is created","6234","Create a test suite","UI Suite","Wed Feb 25 20:35:04 UTC 2026","passed","Wed Feb 25 20:35:10 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a defect can be successfully updated","1547","checkUpdateDefect","API Suite","Wed Feb 25 20:38:05 UTC 2026","passed","Wed Feb 25 20:38:06 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Verify that all existing projects are returned","760","checkGetAllProjects","API Suite","Wed Feb 25 20:37:57 UTC 2026","passed","Wed Feb 25 20:37:58 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that all milestones for the project are returned correctly","2088","checkGetAllMilestones","API Suite","Wed Feb 25 20:38:09 UTC 2026","passed","Wed Feb 25 20:38:12 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Creates and edits a suite, then verifies the updated suite appears","11334","Edit a test suite","UI Suite","Wed Feb 25 20:35:35 UTC 2026","passed","Wed Feb 25 20:35:46 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a defect can be created and has a valid ID","817","checkCreateDefect","API Suite","Wed Feb 25 20:37:58 UTC 2026","passed","Wed Feb 25 20:37:59 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Creates a suite named 'Smoke' and verifies it is created","5464","Create a test suite","UI Suite","Wed Feb 25 20:34:10 UTC 2026","passed","Wed Feb 25 20:34:15 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a specific milestone can be retrieved by its ID","1053","checkGetSpecificMilestone","API Suite","Wed Feb 25 20:38:12 UTC 2026","passed","Wed Feb 25 20:38:13 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
