"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a milestone can be successfully updated","661","checkUpdateMilestone","API Suite","Wed Mar 11 16:51:35 UTC 2026","passed","Wed Mar 11 16:51:36 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Creates a suite named 'Smoke' and verifies it is created","0","Create a test suite","UI Suite","Wed Mar 11 16:50:47 UTC 2026","skipped","Wed Mar 11 16:50:47 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that all existing projects are returned","465","checkGetAllProjects","API Suite","Wed Mar 11 16:51:26 UTC 2026","passed","Wed Mar 11 16:51:27 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a new project can be created","2297","checkCreateProject","API Suite","Wed Mar 11 16:51:24 UTC 2026","passed","Wed Mar 11 16:51:26 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Verify that all milestones for the project are returned correctly","811","checkGetAllMilestones","API Suite","Wed Mar 11 16:51:34 UTC 2026","passed","Wed Mar 11 16:51:34 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"","4","initPages","UI Suite","Wed Mar 11 16:50:47 UTC 2026","failed","Wed Mar 11 16:50:47 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","initPages"
"Verify that a specific defect can be retrieved by its ID","814","checkGetDefect","API Suite","Wed Mar 11 16:51:30 UTC 2026","passed","Wed Mar 11 16:51:31 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"","0","initPages","UI Suite","Wed Mar 11 16:50:47 UTC 2026","failed","Wed Mar 11 16:50:47 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","initPages"
"Creates and edits a suite, then verifies the updated suite appears","0","Edit a test suite","UI Suite","Wed Mar 11 16:50:47 UTC 2026","skipped","Wed Mar 11 16:50:47 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a defect can be successfully updated","932","checkUpdateDefect","API Suite","Wed Mar 11 16:51:31 UTC 2026","passed","Wed Mar 11 16:51:32 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Verify that a defect can be created and has a valid ID","600","checkCreateDefect","API Suite","Wed Mar 11 16:51:27 UTC 2026","passed","Wed Mar 11 16:51:27 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Verify that a milestone is deleted successfully and returns 404 when accessed","712","checkDeleteMilestone","API Suite","Wed Mar 11 16:51:33 UTC 2026","passed","Wed Mar 11 16:51:34 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Verify that a specific milestone can be retrieved by its ID","530","checkGetSpecificMilestone","API Suite","Wed Mar 11 16:51:35 UTC 2026","passed","Wed Mar 11 16:51:35 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"","1","initPages","UI Suite","Wed Mar 11 16:51:24 UTC 2026","failed","Wed Mar 11 16:51:24 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","initPages"
"Verify that a defect is deleted successfully and returns 404 when accessed","1355","checkDeleteDefect","API Suite","Wed Mar 11 16:51:28 UTC 2026","passed","Wed Mar 11 16:51:29 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Creates a suite named 'Smoke' and verifies it is created","1","Create a test suite","UI Suite","Wed Mar 11 16:51:24 UTC 2026","skipped","Wed Mar 11 16:51:24 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a test case and verifies it exists on the project page","0","Create test case","UI Suite","Wed Mar 11 16:50:47 UTC 2026","skipped","Wed Mar 11 16:50:47 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","4","Create a test suite","UI Suite","Wed Mar 11 16:50:47 UTC 2026","skipped","Wed Mar 11 16:50:47 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates and edits a suite, then verifies the updated suite appears","0","Edit a test suite","UI Suite","Wed Mar 11 16:51:24 UTC 2026","skipped","Wed Mar 11 16:51:24 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a test case and verifies it exists on the project page","0","Create test case","UI Suite","Wed Mar 11 16:51:24 UTC 2026","skipped","Wed Mar 11 16:51:24 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a test case and verifies it exists on the project page","0","Create test case","UI Suite","Wed Mar 11 16:50:47 UTC 2026","skipped","Wed Mar 11 16:50:47 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that all defects for the project are returned correctly","982","checkGetAllDefects","API Suite","Wed Mar 11 16:51:29 UTC 2026","passed","Wed Mar 11 16:51:30 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Verify that a milestone can be created and has a valid ID","537","checkCreateMilestone","API Suite","Wed Mar 11 16:51:32 UTC 2026","passed","Wed Mar 11 16:51:33 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
