"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a test case and verifies it exists on the project page","4724","Create test case","UI Suite","Sat Jul 19 22:42:54 GMT 2025","passed","Sat Jul 19 22:42:59 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a test case and verifies it exists on the project page","4905","Create test case","UI Suite","Sat Jul 19 22:43:36 GMT 2025","passed","Sat Jul 19 22:43:41 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates and edits a suite, then verifies the updated suite appears","7893","Edit a test suite","UI Suite","Sat Jul 19 22:43:03 GMT 2025","passed","Sat Jul 19 22:43:11 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a new project can be created","521","checkCreateProject","API Suite","Sat Jul 19 22:44:43 GMT 2025","passed","Sat Jul 19 22:44:43 GMT 2025","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Creates and edits a suite, then verifies the updated suite appears","8969","Edit a test suite","UI Suite","Sat Jul 19 22:44:33 GMT 2025","passed","Sat Jul 19 22:44:42 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"","615","checkGetSpecificMilestone","API Suite","Sat Jul 19 22:44:51 GMT 2025","passed","Sat Jul 19 22:44:52 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Verify that a specific defect can be retrieved by its ID","1002","checkGetDefect","API Suite","Sat Jul 19 22:44:48 GMT 2025","passed","Sat Jul 19 22:44:49 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Creates a suite named 'Smoke' and verifies it is created","4270","Create a test suite","UI Suite","Sat Jul 19 22:43:25 GMT 2025","passed","Sat Jul 19 22:43:29 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates and edits a suite, then verifies the updated suite appears","8986","Edit a test suite","UI Suite","Sat Jul 19 22:43:48 GMT 2025","passed","Sat Jul 19 22:43:57 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a suite named 'Smoke' and verifies it is created","3577","Create a test suite","UI Suite","Sat Jul 19 22:44:15 GMT 2025","passed","Sat Jul 19 22:44:19 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a defect is deleted successfully and returns 404 when accessed","1442","checkDeleteDefect","API Suite","Sat Jul 19 22:44:45 GMT 2025","passed","Sat Jul 19 22:44:46 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Verify that a defect can be successfully updated","1187","checkUpdateDefect","API Suite","Sat Jul 19 22:44:49 GMT 2025","passed","Sat Jul 19 22:44:50 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Creates a suite named 'Smoke' and verifies it is created","3672","Create a test suite","UI Suite","Sat Jul 19 22:42:46 GMT 2025","passed","Sat Jul 19 22:42:49 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that all existing projects are returned","545","checkGetAllProjects","API Suite","Sat Jul 19 22:44:43 GMT 2025","passed","Sat Jul 19 22:44:44 GMT 2025","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a defect can be created and has a valid ID","629","checkCreateDefect","API Suite","Sat Jul 19 22:44:44 GMT 2025","passed","Sat Jul 19 22:44:45 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"","603","checkCreateMilestone","API Suite","Sat Jul 19 22:44:51 GMT 2025","passed","Sat Jul 19 22:44:51 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that all defects for the project are returned correctly","1332","checkGetAllDefects","API Suite","Sat Jul 19 22:44:46 GMT 2025","passed","Sat Jul 19 22:44:48 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Creates a test case and verifies it exists on the project page","5112","Create test case","UI Suite","Sat Jul 19 22:44:23 GMT 2025","passed","Sat Jul 19 22:44:28 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
