"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a test case and verifies it exists on the project page","11139","Create test case","UI Suite","Wed Mar 11 18:00:07 UTC 2026","failed","Wed Mar 11 18:00:18 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a milestone is deleted successfully and returns 404 when accessed","666","checkDeleteMilestone","API Suite","Wed Mar 11 18:00:51 UTC 2026","passed","Wed Mar 11 18:00:52 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Verify that a milestone can be successfully updated","674","checkUpdateMilestone","API Suite","Wed Mar 11 18:00:54 UTC 2026","passed","Wed Mar 11 18:00:54 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Verify that a defect can be created and has a valid ID","550","checkCreateDefect","API Suite","Wed Mar 11 18:00:46 UTC 2026","passed","Wed Mar 11 18:00:46 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Creates a test case and verifies it exists on the project page","61272","Create test case","UI Suite","Wed Mar 11 17:58:30 UTC 2026","failed","Wed Mar 11 17:59:32 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","15328","Create a test suite","UI Suite","Wed Mar 11 17:59:51 UTC 2026","passed","Wed Mar 11 18:00:06 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates and edits a suite, then verifies the updated suite appears","23557","Edit a test suite","UI Suite","Wed Mar 11 17:58:47 UTC 2026","passed","Wed Mar 11 17:59:10 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Creates and edits a suite, then verifies the updated suite appears","30078","Edit a test suite","UI Suite","Wed Mar 11 17:59:32 UTC 2026","broken","Wed Mar 11 18:00:02 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a milestone can be created and has a valid ID","455","checkCreateMilestone","API Suite","Wed Mar 11 18:00:51 UTC 2026","passed","Wed Mar 11 18:00:51 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that a new project can be created","471","checkCreateProject","API Suite","Wed Mar 11 18:00:45 UTC 2026","passed","Wed Mar 11 18:00:45 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Verify that all defects for the project are returned correctly","944","checkGetAllDefects","API Suite","Wed Mar 11 18:00:48 UTC 2026","passed","Wed Mar 11 18:00:49 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Verify that all existing projects are returned","443","checkGetAllProjects","API Suite","Wed Mar 11 18:00:45 UTC 2026","passed","Wed Mar 11 18:00:46 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a specific defect can be retrieved by its ID","764","checkGetDefect","API Suite","Wed Mar 11 18:00:49 UTC 2026","passed","Wed Mar 11 18:00:50 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Creates and edits a suite, then verifies the updated suite appears","25718","Edit a test suite","UI Suite","Wed Mar 11 18:00:19 UTC 2026","passed","Wed Mar 11 18:00:44 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a specific milestone can be retrieved by its ID","565","checkGetSpecificMilestone","API Suite","Wed Mar 11 18:00:53 UTC 2026","passed","Wed Mar 11 18:00:54 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Verify that all milestones for the project are returned correctly","736","checkGetAllMilestones","API Suite","Wed Mar 11 18:00:52 UTC 2026","passed","Wed Mar 11 18:00:53 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Creates a test case and verifies it exists on the project page","14466","Create test case","UI Suite","Wed Mar 11 17:58:32 UTC 2026","passed","Wed Mar 11 17:58:46 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a defect is deleted successfully and returns 404 when accessed","1217","checkDeleteDefect","API Suite","Wed Mar 11 18:00:46 UTC 2026","passed","Wed Mar 11 18:00:48 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Creates a suite named 'Smoke' and verifies it is created","15358","Create a test suite","UI Suite","Wed Mar 11 17:58:12 UTC 2026","passed","Wed Mar 11 17:58:27 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a defect can be successfully updated","815","checkUpdateDefect","API Suite","Wed Mar 11 18:00:50 UTC 2026","passed","Wed Mar 11 18:00:51 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Creates a suite named 'Smoke' and verifies it is created","14600","Create a test suite","UI Suite","Wed Mar 11 17:58:12 UTC 2026","passed","Wed Mar 11 17:58:27 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
