"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that all existing projects are returned","548","checkGetAllProjects","API Suite","Wed Feb 25 20:28:47 UTC 2026","passed","Wed Feb 25 20:28:48 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a specific milestone can be retrieved by its ID","831","checkGetSpecificMilestone","API Suite","Wed Feb 25 20:28:59 UTC 2026","passed","Wed Feb 25 20:29:00 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Verify that a defect is deleted successfully and returns 404 when accessed","1857","checkDeleteDefect","API Suite","Wed Feb 25 20:28:49 UTC 2026","passed","Wed Feb 25 20:28:51 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Verify that a milestone is deleted successfully and returns 404 when accessed","947","checkDeleteMilestone","API Suite","Wed Feb 25 20:28:57 UTC 2026","passed","Wed Feb 25 20:28:58 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Creates and edits a suite, then verifies the updated suite appears","11880","Edit a test suite","UI Suite","Wed Feb 25 20:27:22 UTC 2026","passed","Wed Feb 25 20:27:34 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that all defects for the project are returned correctly","1354","checkGetAllDefects","API Suite","Wed Feb 25 20:28:52 UTC 2026","passed","Wed Feb 25 20:28:53 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Verify that a milestone can be created and has a valid ID","664","checkCreateMilestone","API Suite","Wed Feb 25 20:28:56 UTC 2026","passed","Wed Feb 25 20:28:57 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Verify that a specific defect can be retrieved by its ID","977","checkGetDefect","API Suite","Wed Feb 25 20:28:53 UTC 2026","passed","Wed Feb 25 20:28:54 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Creates a suite named 'Smoke' and verifies it is created","5127","Create a test suite","UI Suite","Wed Feb 25 20:25:55 UTC 2026","passed","Wed Feb 25 20:26:00 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a milestone can be successfully updated","1126","checkUpdateMilestone","API Suite","Wed Feb 25 20:29:00 UTC 2026","passed","Wed Feb 25 20:29:01 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Creates a suite named 'Smoke' and verifies it is created","5629","Create a test suite","UI Suite","Wed Feb 25 20:26:53 UTC 2026","passed","Wed Feb 25 20:26:59 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a suite named 'Smoke' and verifies it is created","5393","Create a test suite","UI Suite","Wed Feb 25 20:28:11 UTC 2026","passed","Wed Feb 25 20:28:16 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a new project can be created","615","checkCreateProject","API Suite","Wed Feb 25 20:28:47 UTC 2026","passed","Wed Feb 25 20:28:47 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Creates a test case and verifies it exists on the project page","6658","Create test case","UI Suite","Wed Feb 25 20:28:22 UTC 2026","passed","Wed Feb 25 20:28:29 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates and edits a suite, then verifies the updated suite appears","10631","Edit a test suite","UI Suite","Wed Feb 25 20:28:36 UTC 2026","passed","Wed Feb 25 20:28:46 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a test case and verifies it exists on the project page","6536","Create test case","UI Suite","Wed Feb 25 20:26:05 UTC 2026","passed","Wed Feb 25 20:26:12 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a defect can be created and has a valid ID","765","checkCreateDefect","API Suite","Wed Feb 25 20:28:48 UTC 2026","passed","Wed Feb 25 20:28:49 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Verify that a defect can be successfully updated","1262","checkUpdateDefect","API Suite","Wed Feb 25 20:28:55 UTC 2026","passed","Wed Feb 25 20:28:56 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Verify that all milestones for the project are returned correctly","1099","checkGetAllMilestones","API Suite","Wed Feb 25 20:28:58 UTC 2026","passed","Wed Feb 25 20:28:59 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Creates a test case and verifies it exists on the project page","6295","Create test case","UI Suite","Wed Feb 25 20:27:07 UTC 2026","passed","Wed Feb 25 20:27:13 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates and edits a suite, then verifies the updated suite appears","10659","Edit a test suite","UI Suite","Wed Feb 25 20:26:17 UTC 2026","passed","Wed Feb 25 20:26:28 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
