"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a suite named 'Smoke' and verifies it is created","15382","Create a test suite","UI Suite","Wed Feb 25 19:10:32 UTC 2026","failed","Wed Feb 25 19:10:47 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a test case and verifies it exists on the project page","14321","Create test case","UI Suite","Wed Feb 25 19:10:53 UTC 2026","failed","Wed Feb 25 19:11:07 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a defect is deleted successfully and returns 404 when accessed","1403","checkDeleteDefect","API Suite","Wed Feb 25 19:11:31 UTC 2026","passed","Wed Feb 25 19:11:32 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Verify that a defect can be created and has a valid ID","595","checkCreateDefect","API Suite","Wed Feb 25 19:11:30 UTC 2026","passed","Wed Feb 25 19:11:30 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Verify that a milestone can be successfully updated","691","checkUpdateMilestone","API Suite","Wed Feb 25 19:11:42 UTC 2026","passed","Wed Feb 25 19:11:42 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Verify that a new project can be created","509","checkCreateProject","API Suite","Wed Feb 25 19:11:28 UTC 2026","passed","Wed Feb 25 19:11:29 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Creates and edits a suite, then verifies the updated suite appears","14054","Edit a test suite","UI Suite","Wed Feb 25 19:08:10 UTC 2026","failed","Wed Feb 25 19:08:24 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that all defects for the project are returned correctly","1123","checkGetAllDefects","API Suite","Wed Feb 25 19:11:32 UTC 2026","passed","Wed Feb 25 19:11:33 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Creates a suite named 'Smoke' and verifies it is created","14289","Create a test suite","UI Suite","Wed Feb 25 19:08:53 UTC 2026","failed","Wed Feb 25 19:09:07 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a test case and verifies it exists on the project page","14165","Create test case","UI Suite","Wed Feb 25 19:09:18 UTC 2026","failed","Wed Feb 25 19:09:32 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a specific milestone can be retrieved by its ID","678","checkGetSpecificMilestone","API Suite","Wed Feb 25 19:11:41 UTC 2026","passed","Wed Feb 25 19:11:42 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Verify that all existing projects are returned","454","checkGetAllProjects","API Suite","Wed Feb 25 19:11:29 UTC 2026","passed","Wed Feb 25 19:11:30 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that a milestone is deleted successfully and returns 404 when accessed","2469","checkDeleteMilestone","API Suite","Wed Feb 25 19:11:37 UTC 2026","passed","Wed Feb 25 19:11:40 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
"Verify that a specific defect can be retrieved by its ID","1438","checkGetDefect","API Suite","Wed Feb 25 19:11:34 UTC 2026","passed","Wed Feb 25 19:11:35 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Creates a test case and verifies it exists on the project page","13770","Create test case","UI Suite","Wed Feb 25 19:07:51 UTC 2026","failed","Wed Feb 25 19:08:04 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","13732","Create a test suite","UI Suite","Wed Feb 25 19:07:32 UTC 2026","failed","Wed Feb 25 19:07:46 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a defect can be successfully updated","923","checkUpdateDefect","API Suite","Wed Feb 25 19:11:35 UTC 2026","passed","Wed Feb 25 19:11:36 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Verify that all milestones for the project are returned correctly","908","checkGetAllMilestones","API Suite","Wed Feb 25 19:11:40 UTC 2026","passed","Wed Feb 25 19:11:41 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Creates and edits a suite, then verifies the updated suite appears","14186","Edit a test suite","UI Suite","Wed Feb 25 19:09:40 UTC 2026","failed","Wed Feb 25 19:09:55 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Creates and edits a suite, then verifies the updated suite appears","14933","Edit a test suite","UI Suite","Wed Feb 25 19:11:13 UTC 2026","failed","Wed Feb 25 19:11:28 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a milestone can be created and has a valid ID","499","checkCreateMilestone","API Suite","Wed Feb 25 19:11:36 UTC 2026","passed","Wed Feb 25 19:11:37 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
