"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a suite named 'Smoke' and verifies it is created","5480","Create a test suite","UI Suite","Sun Mar 01 15:37:09 UTC 2026","passed","Sun Mar 01 15:37:14 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates and edits a suite, then verifies the updated suite appears","9028","Edit a test suite","UI Suite","Sun Mar 01 15:38:15 UTC 2026","passed","Sun Mar 01 15:38:24 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a specific defect can be retrieved by its ID","880","checkGetDefect","API Suite","Sun Mar 01 15:38:29 UTC 2026","passed","Sun Mar 01 15:38:30 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"Verify that all defects for the project are returned correctly","1005","checkGetAllDefects","API Suite","Sun Mar 01 15:38:28 UTC 2026","passed","Sun Mar 01 15:38:29 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"Verify that a milestone can be successfully updated","752","checkUpdateMilestone","API Suite","Sun Mar 01 15:38:35 UTC 2026","passed","Sun Mar 01 15:38:35 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkUpdateMilestone"
"Creates and edits a suite, then verifies the updated suite appears","9973","Edit a test suite","UI Suite","Sun Mar 01 15:37:20 UTC 2026","passed","Sun Mar 01 15:37:30 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a milestone can be created and has a valid ID","475","checkCreateMilestone","API Suite","Sun Mar 01 15:38:32 UTC 2026","passed","Sun Mar 01 15:38:32 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Creates a test case and verifies it exists on the project page","5000","Create test case","UI Suite","Sun Mar 01 15:37:15 UTC 2026","passed","Sun Mar 01 15:37:20 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a defect is deleted successfully and returns 404 when accessed","1378","checkDeleteDefect","API Suite","Sun Mar 01 15:38:27 UTC 2026","passed","Sun Mar 01 15:38:28 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Verify that a specific milestone can be retrieved by its ID","625","checkGetSpecificMilestone","API Suite","Sun Mar 01 15:38:34 UTC 2026","passed","Sun Mar 01 15:38:35 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Verify that a defect can be created and has a valid ID","609","checkCreateDefect","API Suite","Sun Mar 01 15:38:26 UTC 2026","passed","Sun Mar 01 15:38:27 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Creates a test case and verifies it exists on the project page","5163","Create test case","UI Suite","Sun Mar 01 15:37:15 UTC 2026","passed","Sun Mar 01 15:37:20 UTC 2026","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a test case and verifies it exists on the project page","4564","Create test case","UI Suite","Sun Mar 01 15:38:10 UTC 2026","passed","Sun Mar 01 15:38:15 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a defect can be successfully updated","927","checkUpdateDefect","API Suite","Sun Mar 01 15:38:30 UTC 2026","passed","Sun Mar 01 15:38:31 UTC 2026","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Creates a suite named 'Smoke' and verifies it is created","5414","Create a test suite","UI Suite","Sun Mar 01 15:37:09 UTC 2026","passed","Sun Mar 01 15:37:14 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a suite named 'Smoke' and verifies it is created","5172","Create a test suite","UI Suite","Sun Mar 01 15:38:05 UTC 2026","passed","Sun Mar 01 15:38:10 UTC 2026","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that all existing projects are returned","487","checkGetAllProjects","API Suite","Sun Mar 01 15:38:25 UTC 2026","passed","Sun Mar 01 15:38:26 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Verify that all milestones for the project are returned correctly","858","checkGetAllMilestones","API Suite","Sun Mar 01 15:38:33 UTC 2026","passed","Sun Mar 01 15:38:34 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetAllMilestones"
"Creates and edits a suite, then verifies the updated suite appears","9155","Edit a test suite","UI Suite","Sun Mar 01 15:37:20 UTC 2026","passed","Sun Mar 01 15:37:29 UTC 2026","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a new project can be created","514","checkCreateProject","API Suite","Sun Mar 01 15:38:25 UTC 2026","passed","Sun Mar 01 15:38:25 UTC 2026","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Verify that a milestone is deleted successfully and returns 404 when accessed","689","checkDeleteMilestone","API Suite","Sun Mar 01 15:38:32 UTC 2026","passed","Sun Mar 01 15:38:33 UTC 2026","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkDeleteMilestone"
